cum_buys_sol,entry_price_sol,tokens_for_1sol,eff_cost_sol,price_after_sol,nav_sol,redeem_price_after_fees_sol,backing_pct,pool_sol,instant_roundtrip_sol,instant_pnl_pct
143,1.611413165e-05,60182.83987,1.661603211e-05,1.612464651e-05,1.50778348e-05,1.417316471e-05,93.50800208,143,0.8529813022,-14.70186978
144,1.612464651e-05,60143.68376,1.662684986e-05,1.613509497e-05,1.5087596e-05,1.418234024e-05,93.50794665,144,0.8529781864,-14.70218136
145,1.613509497e-05,60104.82484,1.663759944e-05,1.61454779e-05,1.509729603e-05,1.419145827e-05,93.50789198,145,0.8529751135,-14.70248865
146,1.61454779e-05,60066.25881,1.664828174e-05,1.615579614e-05,1.51069357e-05,1.420051955e-05,93.50783806,146,0.8529720827,-14.70279173
147,1.615579614e-05,60027.98148,1.665889766e-05,1.616605056e-05,1.511651578e-05,1.420952483e-05,93.50778486,147,0.8529690933,-14.70309067
148,1.616605056e-05,59989.98873,1.666944804e-05,1.617624196e-05,1.512603704e-05,1.421847482e-05,93.50773239,148,0.8529661442,-14.70338558
149,1.617624196e-05,59952.27654,1.667993373e-05,1.618637116e-05,1.513550025e-05,1.422737024e-05,93.50768062,149,0.8529632348,-14.70367652
150,1.618637116e-05,59914.84098,1.669035557e-05,1.619643896e-05,1.514490614e-05,1.423621177e-05,93.50762953,150,0.8529603642,-14.70396358
151,1.619643896e-05,59877.67817,1.670071436e-05,1.620644612e-05,1.515425543e-05,1.42450001e-05,93.50757913,151,0.8529575317,-14.70424683
152,1.620644612e-05,59840.78435,1.671101091e-05,1.621639341e-05,1.516354883e-05,1.42537359e-05,93.50752938,152,0.8529547364,-14.70452636
153,1.621639341e-05,59804.15581,1.672124598e-05,1.622628159e-05,1.517278705e-05,1.426241983e-05,93.50748028,153,0.8529519778,-14.70480222
154,1.622628159e-05,59767.78891,1.673142036e-05,1.623611137e-05,1.518197077e-05,1.427105253e-05,93.50743182,154,0.8529492549,-14.70507451
155,1.623611137e-05,59731.68011,1.674153478e-05,1.62458835e-05,1.519110066e-05,1.427963462e-05,93.50738398,155,0.8529465673,-14.70534327
156,1.62458835e-05,59695.82591,1.675158999e-05,1.625559866e-05,1.520017738e-05,1.428816674e-05,93.50733676,156,0.8529439141,-14.70560859
157,1.625559866e-05,59660.22291,1.676158672e-05,1.626525756e-05,1.520920157e-05,1.429664948e-05,93.50729013,157,0.8529412948,-14.70587052
158,1.626525756e-05,59624.86775,1.677152567e-05,1.627486087e-05,1.521817388e-05,1.430508345e-05,93.50724409,158,0.8529387086,-14.70612914
159,1.627486087e-05,59589.75716,1.678140754e-05,1.628440926e-05,1.522709492e-05,1.431346922e-05,93.50719863,159,0.852936155,-14.7063845
160,1.628440926e-05,59554.8879,1.679123302e-05,1.62939034e-05,1.52359653e-05,1.432180738e-05,93.50715374,160,0.8529336333,-14.70663667
161,1.62939034e-05,59520.25683,1.680100277e-05,1.630334392e-05,1.524478564e-05,1.43300985e-05,93.50710941,161,0.852931143,-14.7068857
162,1.630334392e-05,59485.86085,1.681071747e-05,1.631273146e-05,1.525355651e-05,1.433834312e-05,93.50706562,162,0.8529286835,-14.70713165
163,1.631273146e-05,59451.69693,1.682037775e-05,1.632206663e-05,1.526227849e-05,1.434654178e-05,93.50702236,163,0.8529262541,-14.70737459
164,1.632206663e-05,59417.76207,1.682998425e-05,1.633135005e-05,1.527095217e-05,1.435469504e-05,93.50697964,164,0.8529238544,-14.70761456
165,1.633135005e-05,59384.05337,1.683953761e-05,1.634058232e-05,1.527957809e-05,1.43628034e-05,93.50693743,165,0.8529214838,-14.70785162
166,1.634058232e-05,59350.56795,1.684903843e-05,1.634976403e-05,1.52881568e-05,1.43708674e-05,93.50689572,166,0.8529191418,-14.70808582
167,1.634976403e-05,59317.30299,1.685848731e-05,1.635889576e-05,1.529668885e-05,1.437888752e-05,93.50685452,167,0.8529168279,-14.70831721
168,1.635889576e-05,59284.25574,1.686788486e-05,1.636797806e-05,1.530517477e-05,1.438686428e-05,93.5068138,168,0.8529145415,-14.70854585
169,1.636797806e-05,59251.42347,1.687723166e-05,1.637701151e-05,1.531361507e-05,1.439479817e-05,93.50677357,169,0.8529122822,-14.70877178
170,1.637701151e-05,59218.80354,1.688652827e-05,1.638599666e-05,1.532201028e-05,1.440268966e-05,93.50673381,170,0.8529100495,-14.70899505
171,1.638599666e-05,59186.39332,1.689577526e-05,1.639493404e-05,1.533036088e-05,1.441053923e-05,93.50669451,171,0.852907843,-14.7092157
172,1.639493404e-05,59154.19025,1.690497318e-05,1.640382418e-05,1.533866739e-05,1.441834735e-05,93.50665567,172,0.8529056621,-14.70943379
173,1.640382418e-05,59122.19181,1.691412259e-05,1.64126676e-05,1.534693028e-05,1.442611446e-05,93.50661728,173,0.8529035064,-14.70964936
174,1.64126676e-05,59090.39552,1.692322401e-05,1.642146483e-05,1.535515003e-05,1.443384103e-05,93.50657932,174,0.8529013756,-14.70986244
175,1.642146483e-05,59058.79896,1.693227796e-05,1.643021636e-05,1.536332712e-05,1.44415275e-05,93.5065418,175,0.8528992691,-14.71007309
176,1.643021636e-05,59027.39972,1.694128498e-05,1.643892268e-05,1.537146201e-05,1.444917429e-05,93.50650471,176,0.8528971865,-14.71028135
177,1.643892268e-05,58996.19547,1.695024555e-05,1.64475843e-05,1.537955515e-05,1.445678184e-05,93.50646803,177,0.8528951275,-14.71048725
178,1.64475843e-05,58965.1839,1.69591602e-05,1.645620168e-05,1.5387607e-05,1.446435058e-05,93.50643177,178,0.8528930917,-14.71069083
179,1.645620168e-05,58934.36275,1.69680294e-05,1.64647753e-05,1.539561798e-05,1.44718809e-05,93.50639591,179,0.8528910786,-14.71089214
180,1.64647753e-05,58903.72978,1.697685365e-05,1.647330563e-05,1.540358854e-05,1.447937323e-05,93.50636044,180,0.8528890879,-14.71109121
181,1.647330563e-05,58873.28282,1.698563342e-05,1.648179312e-05,1.54115191e-05,1.448682795e-05,93.50632537,181,0.8528871193,-14.71128807
