sell_n,tokens_sold,seller_receives_sol,nav_sol,redeem_price_sol,price_frozen_sol,pool_sol
31,58855.7873,0.940000001,1.699248818e-05,1.597293889e-05,1.811530683e-05,470.55
32,58849.53336,0.940000001,1.699429762e-05,1.597463976e-05,1.811530683e-05,469.6
33,58843.26744,0.940000001,1.699611093e-05,1.597634427e-05,1.811530683e-05,468.65
34,58836.98949,0.940000001,1.699792811e-05,1.597805242e-05,1.811530683e-05,467.7
35,58830.69945,0.940000001,1.699974919e-05,1.597976424e-05,1.811530683e-05,466.75
36,58824.39729,0.940000001,1.700157417e-05,1.598147972e-05,1.811530683e-05,465.8
37,58818.08295,0.940000001,1.700340309e-05,1.59831989e-05,1.811530683e-05,464.85
38,58811.75638,0.940000001,1.700523594e-05,1.598492179e-05,1.811530683e-05,463.9
39,58805.41754,0.940000001,1.700707276e-05,1.598664839e-05,1.811530683e-05,462.95
40,58799.06638,0.940000001,1.700891355e-05,1.598837874e-05,1.811530683e-05,462
41,58792.70285,0.940000001,1.701075833e-05,1.599011283e-05,1.811530683e-05,461.05
42,58786.32689,0.940000001,1.701260713e-05,1.59918507e-05,1.811530683e-05,460.1
43,58779.93846,0.940000001,1.701445995e-05,1.599359235e-05,1.811530683e-05,459.15
44,58773.53751,0.940000001,1.701631682e-05,1.599533781e-05,1.811530683e-05,458.2
45,58767.12398,0.940000001,1.701817774e-05,1.599708708e-05,1.811530683e-05,457.25
46,58760.69783,0.940000001,1.702004275e-05,1.599884018e-05,1.811530683e-05,456.3
47,58754.25901,0.940000001,1.702191185e-05,1.600059714e-05,1.811530683e-05,455.35
48,58747.80746,0.940000001,1.702378507e-05,1.600235796e-05,1.811530683e-05,454.4
49,58741.34313,0.940000001,1.702566241e-05,1.600412267e-05,1.811530683e-05,453.45
50,58734.86598,0.940000001,1.702754391e-05,1.600589128e-05,1.811530683e-05,452.5
51,58728.37594,0.940000001,1.702942957e-05,1.60076638e-05,1.811530683e-05,451.55
52,58721.87296,0.940000001,1.703131942e-05,1.600944026e-05,1.811530683e-05,450.6
53,58715.357,0.940000001,1.703321347e-05,1.601122067e-05,1.811530683e-05,449.65
54,58708.82799,0.940000001,1.703511175e-05,1.601300504e-05,1.811530683e-05,448.7
55,58702.28589,0.940000001,1.703701426e-05,1.601479341e-05,1.811530683e-05,447.75
56,58695.73063,0.940000001,1.703892104e-05,1.601658577e-05,1.811530683e-05,446.8
57,58689.16218,0.940000001,1.704083209e-05,1.601838216e-05,1.811530683e-05,445.85
58,58682.58046,0.940000001,1.704274743e-05,1.602018259e-05,1.811530683e-05,444.9
59,58675.98543,0.940000001,1.704466709e-05,1.602198707e-05,1.811530683e-05,443.95
60,58669.37703,0.940000001,1.704659109e-05,1.602379562e-05,1.811530683e-05,443
61,58662.75521,0.940000001,1.704851943e-05,1.602560827e-05,1.811530683e-05,442.05
62,58656.1199,0.940000001,1.705045215e-05,1.602742502e-05,1.811530683e-05,441.1
63,58649.47105,0.940000001,1.705238926e-05,1.602924591e-05,1.811530683e-05,440.15
64,58642.80861,0.940000001,1.705433079e-05,1.603107094e-05,1.811530683e-05,439.2
65,58636.13252,0.940000001,1.705627674e-05,1.603290014e-05,1.811530683e-05,438.25
66,58629.44271,0.940000001,1.705822714e-05,1.603473351e-05,1.811530683e-05,437.3
67,58622.73914,0.940000001,1.706018202e-05,1.60365711e-05,1.811530683e-05,436.35
68,58616.02174,0.940000001,1.706214138e-05,1.60384129e-05,1.811530683e-05,435.4
69,58609.29046,0.940000001,1.706410526e-05,1.604025894e-05,1.811530683e-05,434.45
70,58602.54523,0.940000001,1.706607366e-05,1.604210924e-05,1.811530683e-05,433.5
71,58595.786,0.940000001,1.706804662e-05,1.604396382e-05,1.811530683e-05,432.55
72,58589.0127,0.940000001,1.707002415e-05,1.60458227e-05,1.811530683e-05,431.6
73,58582.22528,0.940000001,1.707200627e-05,1.604768589e-05,1.811530683e-05,430.65
74,58575.42367,0.940000001,1.7073993e-05,1.604955342e-05,1.811530683e-05,429.7
75,58568.60782,0.940000001,1.707598437e-05,1.605142531e-05,1.811530683e-05,428.75
76,58561.77766,0.940000001,1.707798039e-05,1.605330157e-05,1.811530683e-05,427.8
77,58554.93314,0.940000001,1.707998109e-05,1.605518223e-05,1.811530683e-05,426.85
78,58548.07418,0.940000001,1.708198649e-05,1.60570673e-05,1.811530683e-05,425.9
79,58541.20073,0.940000001,1.708399661e-05,1.605895681e-05,1.811530683e-05,424.95
80,58534.31271,0.940000001,1.708601147e-05,1.606085078e-05,1.811530683e-05,424
81,58527.41008,0.940000001,1.708803109e-05,1.606274923e-05,1.811530683e-05,423.05
